Category: All categories

Month,diet: (United States),gym: (United States),finance: (United States)
2004-01,100,22,28
2004-02,79,18,29
2004-03,69,19,27
2004-04,68,15,28
2004-05,77,17,27
2004-06,67,17,26
2004-07,61,19,30
2004-08,55,17,29
2004-09,53,18,28
2004-10,51,17,28
2004-11,48,17,29
2004-12,45,20,27
2005-01,63,24,29
2005-02,54,21,31
2005-03,57,20,31
2005-04,59,17,29
2005-05,60,18,28
2005-06,56,19,31
2005-07,54,19,30
2005-08,53,19,30
2005-09,48,18,29
2005-10,46,19,31
2005-11,45,20,29
2005-12,39,20,25
2006-01,65,27,31
2006-02,53,20,31
2006-03,54,20,33
2006-04,52,19,35
2006-05,53,20,33
2006-06,59,21,32
2006-07,55,21,32
2006-08,52,24,32
2006-09,47,23,32
2006-10,47,20,32
2006-11,45,21,32
2006-12,40,24,32
2007-01,62,31,37
2007-02,54,30,37
2007-03,60,27,38
2007-04,59,24,38
2007-05,55,25,36
2007-06,60,26,36
2007-07,57,23,38
2007-08,48,24,40
2007-09,51,23,37
2007-10,50,21,42
2007-11,44,21,38
2007-12,40,23,34
2008-01,62,29,42
2008-02,51,24,41
2008-03,51,23,41
2008-04,54,22,41
2008-05,50,21,37
2008-06,48,23,38
2008-07,51,22,41
2008-08,49,24,36
2008-09,47,25,51
2008-10,47,22,63
2008-11,45,23,50
2008-12,43,24,44
2009-01,63,29,48
2009-02,53,23,48
2009-03,54,24,52
2009-04,55,22,46
2009-05,54,23,42
2009-06,52,22,43
2009-07,52,22,42
2009-08,50,24,41
2009-09,46,22,42
2009-10,47,20,43
2009-11,44,22,38
2009-12,42,22,36
2010-01,65,30,38
2010-02,57,25,41
2010-03,58,24,41
2010-04,55,23,42
2010-05,56,22,40
2010-06,53,23,40
2010-07,49,23,35
2010-08,49,23,35
2010-09,49,22,35
2010-10,47,20,36
2010-11,43,21,36
2010-12,42,22,34
2011-01,76,33,40
2011-02,63,28,41
2011-03,67,29,41
2011-04,70,27,39
2011-05,68,25,36
2011-06,62,26,37
2011-07,63,26,37
2011-08,59,27,45
2011-09,58,27,41
2011-10,56,25,40
2011-11,52,26,37
2011-12,52,27,33
2012-01,80,35,36
2012-02,69,30,40
2012-03,67,28,38
2012-04,68,26,37
2012-05,64,27,39
2012-06,62,28,36
2012-07,63,29,34
2012-08,59,28,34
2012-09,56,26,35
2012-10,53,24,36
2012-11,47,24,34
2012-12,46,25,31
2013-01,76,34,38
2013-02,69,30,38
2013-03,67,29,39
2013-04,69,29,39
2013-05,63,29,40
2013-06,60,28,36
2013-07,61,30,39
2013-08,57,29,38
2013-09,53,28,37
2013-10,52,28,42
2013-11,48,28,38
2013-12,46,29,35
2014-01,71,35,41
2014-02,60,32,42
2014-03,61,32,40
2014-04,58,28,40
2014-05,56,29,38
2014-06,53,28,37
2014-07,53,28,39
2014-08,48,28,38
2014-09,47,27,39
2014-10,45,25,43
2014-11,39,27,36
2014-12,42,29,38
2015-01,61,35,41
2015-02,50,30,41
2015-03,53,29,40
2015-04,54,27,40
2015-05,53,27,36
2015-06,51,29,39
2015-07,50,29,42
2015-08,47,29,44
2015-09,45,27,41
2015-10,44,25,41
2015-11,40,26,37
2015-12,39,28,36
2016-01,58,40,38
2016-02,53,34,41
2016-03,54,33,37
2016-04,55,32,37
2016-05,51,33,34
2016-06,50,33,38
2016-07,47,49,34
2016-08,49,37,34
2016-09,44,33,34
2016-10,42,29,32
2016-11,39,30,35
2016-12,38,33,32
2017-01,61,40,34
2017-02,64,36,36
2017-03,58,34,35
2017-04,56,32,34
2017-05,56,32,35
2017-06,56,35,34
2017-07,59,35,33
2017-08,52,34,34
2017-09,49,31,35
2017-10,50,30,36
2017-11,45,31,39
2017-12,45,32,49
2018-01,70,41,49
2018-02,67,35,42
2018-03,66,33,39
2018-04,70,31,39
2018-05,69,32,38
2018-06,67,33,36
2018-07,67,35,36
2018-08,64,34,37
2018-09,55,30,34
2018-10,53,29,38
2018-11,47,31,35
2018-12,49,34,33
2019-01,82,41,37
2019-02,64,35,37
2019-03,62,33,35
2019-04,64,31,36
2019-05,54,31,38
2019-06,55,34,37
2019-07,53,33,37
2019-08,51,32,53
2019-09,49,30,36
2019-10,47,28,43
2019-11,44,33,42
2019-12,41,33,39
2020-01,65,39,45
2020-02,56,35,51
2020-03,37,32,73
2020-04,37,22,57
2020-05,44,27,51
2020-06,45,31,55
2020-07,45,28,49
2020-08,44,28,43
2020-09,39,26,43
2020-10,41,25,42
2020-11,34,26,43
2020-12,34,26,45
2021-01,49,31,50
